536370;POST;POSTAGE;3;01/12/2010 8:45;18;12583;France
536392;22827;RUSTIC  SEVENTEEN DRAWER SIDEBOARD;1;01/12/2010 10:29;165;13705;United Kingdom
536403;POST;POSTAGE;1;01/12/2010 11:27;15;12791;Netherlands
536527;POST;POSTAGE;1;01/12/2010 13:04;18;12662;Germany
536540;C2;CARRIAGE;1;01/12/2010 14:05;50;14911;EIRE
536779;BANK CHARGES;Bank Charges;1;02/12/2010 15:08;15;15823;United Kingdom
536835;22655;VINTAGE RED KITCHEN CABINET;1;02/12/2010 18:06;295;13145;United Kingdom
536840;POST;POSTAGE;1;02/12/2010 18:27;18;12738;Germany
536852;POST;POSTAGE;1;03/12/2010 9:51;18;12686;France
536858;POST;POSTAGE;2;03/12/2010 10:36;40;13520;Switzerland
536861;POST;POSTAGE;3;03/12/2010 10:44;18;12427;Germany
536967;POST;POSTAGE;1;03/12/2010 12:57;18;12600;Germany
536974;POST;POSTAGE;2;03/12/2010 13:59;18;12682;France
536983;POST;POSTAGE;1;03/12/2010 14:30;18;12712;Germany
536990;POST;POSTAGE;1;03/12/2010 15:14;28;12793;Portugal
537022;POST;POSTAGE;2;03/12/2010 15:45;28;12725;Italy
537026;POST;POSTAGE;2;03/12/2010 16:35;18;12395;Belgium
537065;POST;POSTAGE;9;05/12/2010 11:57;18;12567;France
537197;POST;POSTAGE;3;05/12/2010 14:02;18;12647;Germany
537198;POST;POSTAGE;1;05/12/2010 14:03;18;12647;Germany
537201;POST;POSTAGE;6;05/12/2010 14:19;18;12472;Germany
537212;POST;POSTAGE;4;05/12/2010 15:21;18;12720;Germany
537225;M;Manual;1;05/12/2010 16:41;1;12748;United Kingdom
537246;POST;POSTAGE;1;06/12/2010 10:27;28;12808;Portugal
537250;POST;POSTAGE;1;06/12/2010 10:43;18;12708;Germany
537368;C2;CARRIAGE;1;06/12/2010 12:40;50;14911;EIRE
537378;C2;CARRIAGE;1;06/12/2010 13:06;50;14911;EIRE
537396;M;Manual;1;06/12/2010 14:08;35;17223;United Kingdom
537463;POST;POSTAGE;4;07/12/2010 10:08;18;12681;France
537468;POST;POSTAGE;3;07/12/2010 10:36;18;12567;France
537594;POST;POSTAGE;5;07/12/2010 12:28;18;12647;Germany
537673;POST;POSTAGE;7;08/12/2010 9:49;18;12709;Germany
537693;POST;POSTAGE;1;08/12/2010 10:45;18;12441;France
537818;POST;POSTAGE;6;08/12/2010 13:53;28;12766;Portugal
537859;22828;REGENCY MIRROR WITH SHUTTERS;1;08/12/2010 16:11;165;14030;United Kingdom
537859;22827;RUSTIC  SEVENTEEN DRAWER SIDEBOARD;2;08/12/2010 16:11;145;14030;United Kingdom
537892;POST;POSTAGE;1;09/12/2010 10:13;18;12481;Germany
537894;POST;POSTAGE;2;09/12/2010 10:16;18;12621;Germany
537897;POST;POSTAGE;1;09/12/2010 10:37;18;12683;France
537915;POST;POSTAGE;1;09/12/2010 10:55;28;12797;Portugal
537963;C2;CARRIAGE;1;09/12/2010 11:30;50;13369;United Kingdom
537967;POST;POSTAGE;1;09/12/2010 11:31;18;12494;France
537995;POST;POSTAGE;2;09/12/2010 11:39;18;12712;Germany
538002;C2;CARRIAGE;1;09/12/2010 11:48;50;14932;Channel Islands
538003;POST;POSTAGE;8;09/12/2010 12:05;18;12429;Denmark
538008;POST;POSTAGE;5;09/12/2010 12:17;18;12683;France
538093;POST;POSTAGE;5;09/12/2010 14:49;18;12682;France
538147;M;Manual;1;09/12/2010 16:11;15;13090;United Kingdom
538175;POST;POSTAGE;21;10/12/2010 9:48;18;12471;Germany
538196;POST;POSTAGE;8;10/12/2010 10:56;18;12731;France
538311;POST;POSTAGE;2;10/12/2010 13:48;28;12785;Portugal
538354;22826;LOVE SEAT ANTIQUE WHITE METAL;2;10/12/2010 15:45;175;16873;United Kingdom
538525;POST;POSTAGE;5;13/12/2010 9:39;28;12540;Spain
538662;22655;VINTAGE RED KITCHEN CABINET;2;13/12/2010 15:44;125;15159;United Kingdom
